finess;numero_finess_ej;raison_sociale;raison_sociale_longue;complement_raison_sociale;complement_distribution;numero_voie;type_voie;libelle_voie;complement_voie;lieu_dit_bp;commune;code_commune;departement;libelle_departement;ligne_acheminement;telephone;telecopie;categorie_etablissement;libelle_categorie_etablissement;categorie_agregat_etablissement;libelle_categorie_agregat_etablissement;numero_siret;code_ape;code_mft;libelle_mft;code_sph;libelle_sph;date_ouverture;date_autorisation;date_mise_a_jour_structure;numero_education_nationale;coordxet;coordyet;sourcecoordet;date_mise_a_jour_coordonnees;nom_officiel_commune;code_officiel_region;nom_officiel_region;code_officiel_epci;nom_officiel_epci;adresse;coord
770700821;930007018;FOYER DE L'ENFANCE BORNICHE;;;;2;;GRANDE RUE;;LIZY SUR OURCQ;280;77280;77;SEINE ET MARNE;77440 MARY SUR MARNE;0160615400;0160612105;378;Etablissement Expérimental Enfance Protégée;4505;Etab. Expérimentaux en Faveur de l'Enfance Protégée;26931400100026;8790A;08;Président du Conseil Départemental;;;1904-04-04;1904-04-04;2013-09-04;0771092U;701918.0;6879406.4;1,ATLASANTE,81,BAN_05-09-2024,LAMBERT_93_METROPOLE;2024-09-03;Mary-sur-Marne;11;Île-de-France;247700065;Communauté de communes du Pays de l'Ourcq;2  GRANDE RUE;49.01456140217481, 3.0262196355427164
770802577;770707305;C.E.P.S.;CLUB DE SENART - REGR. COMBS ET SAVIGNY-;;;18;R;DE L'EGLISE;;;410;77410;77;SEINE ET MARNE;77950 ST GERMAIN LAXIS;0164881019;0164883355;286;Club Equipe de Prévention;4504;Services Concourant à la Protection de l'Enfance;;;99;Indéterminé;;;1904-04-04;2017-01-03;2021-12-17;;678325.3;6831425.9;1,ATLASANTE,84,BAN_05-09-2024,LAMBERT_93_METROPOLE;2024-09-03;Saint-Germain-Laxis;11;Île-de-France;247700057;Communauté d'agglomération Melun Val de Seine;18 R DE L'EGLISE;48.5826816424337, 2.706142652782812
770812683;770812675;SAAD DE GUERARD;SERVICE D'AIDE MENAGERE A DOMICILE DE GUERARD;;HOTEL DE VILLE;;;;;;219;77219;77;SEINE ET MARNE;77580 GUERARD;0164047033;;460;Service autonomie aide (SAA);4605;Etablissements et services multi-clientèles;26770051600011;;01;Etablissement Tarif Libre;;;1978-01-01;1978-01-01;2019-04-11;;696937.7;6858218.3;4,ATLASANTE,.,ADMIN-EXPRESS-2023,LAMBERT_93_METROPOLE;2024-09-03;Guérard;11;Île-de-France;200090504;Communauté d'agglomération Coulommiers Pays de Brie;;48.82401894887508, 2.9582904401622323
770813053;770813046;SAAD DE VERT SAINT DENIS;SERVICE D'AIDE MENAGERE A DOMICILE DE VERT SAINT DENIS;;HOTEL DE VILLE;2;R;PASTEUR;;;495;77495;77;SEINE ET MARNE;77240 VERT ST DENIS;0160634445;0164105910;460;Service autonomie aide (SAA);4605;Etablissements et services multi-clientèles;26770166200020;8810A;01;Etablissement Tarif Libre;;;1977-01-01;1977-01-01;2019-04-11;;671284.0;6829443.5;1,ATLASANTE,83,BAN_05-09-2024,LAMBERT_93_METROPOLE;2024-09-03;Vert-Saint-Denis;11;Île-de-France;200059228;Communauté d'agglomération Grand Paris Sud Seine Essonne Sénart;2 R PASTEUR;48.56457540200211, 2.6108132069770122
770814721;770810935;CHRS LE RELAIS DE SENART;"CENTRE D'HEBERGEMENT FEMMES EN DIFFICULTE ""LE RELAIS""";CENTRE D'ACCUEIL FEMININ;;27;R;DE L'ETANG;;;495;77495;77;SEINE ET MARNE;77240 VERT ST DENIS;0164897643;0164897641;214;Centre Hébergement & Réinsertion Sociale (C.H.R.S.);4601;Etablissements pour Adultes et Familles en Difficulté;43195648100029;8790B;30;Préfet de région établissements et services sociaux;;;1985-05-31;2017-01-03;2023-07-04;;671900.0;6830085.7;1,ATLASANTE,84,BAN_05-09-2024,LAMBERT_93_METROPOLE;2024-09-03;Vert-Saint-Denis;11;Île-de-France;200059228;Communauté d'agglomération Grand Paris Sud Seine Essonne Sénart;27 R DE L'ETANG;48.57037921924457, 2.6191197167451126
770814622;770021145;ANNEXE SSR D'ORGEMONT;ANNEXE SOINS DE SUITE ET READAPTATION D'ORGEMONT;;;2;R;D ORGEMONT;B;;284;77284;77;SEINE ET MARNE;77100 MEAUX;0160098720;0164353730;355;Centre Hospitalier (C.H.);1102;Centres Hospitaliers;;;03;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;1904-04-04;1904-04-04;2024-03-15;;690335.8;6872864.5;1,ATLASANTE,81,BAN_05-09-2024,LAMBERT_93_METROPOLE;2024-09-03;Meaux;11;Île-de-France;200072130;Communauté d'agglomération du Pays de Meaux;2 R D ORGEMONT;48.955665941574246, 2.8680370601190743
770813749;770813731;EHPAD RESIDENCE LA PETITE MAISON;PETITE UNITE DE VIE LA PETITE MAISON;;;18;R;PASTEUR;;BP 4;114;77114;77;SEINE ET MARNE;77173 CHEVRY COSSIGNY;0164052823;0160620114;500;Etablissement d'hébergement pour personnes âgées dépendantes;4401;Etablissements d'Hébergement pour Personnes Âgées;37987407600027;;51;ARS/PCD, PUV, forfait soins, non habilité aide sociale;;;1990-09-01;2017-01-03;2022-02-18;;674723.6;6847358.7;1,ATLASANTE,81,BAN_05-09-2024,LAMBERT_93_METROPOLE;2024-09-03;Chevry-Cossigny;11;Île-de-France;247700644;Communauté de communes l'Orée de la Brie;18 R PASTEUR;48.72586185248597, 2.6563727179105885
770816809;770002004;CENTRE DE PMI SCHUMAN;CENTRE CULTUREL ET RECREATIF DE LA CAF;;CENTRE CULTUREL;3;R;ROBERT SCHUMAN;;;288;77288;77;SEINE ET MARNE;77000 MELUN;0164091963;;223;Protection Maternelle et Infantile (P.M.I.);2202;Etablissements de PMI et de Planification Familiale;;;01;Etablissement Tarif Libre;;;1904-04-04;1904-04-04;2005-10-26;;673407.0;6828312.1;1,ATLASANTE,82,BAN_05-09-2024,LAMBERT_93_METROPOLE;2024-09-03;Melun;11;Île-de-France;247700057;Communauté d'agglomération Melun Val de Seine;3 R ROBERT SCHUMAN;48.55448865796161, 2.6396557003090355
770816692;770002004;MAISON DES SERVICES PUBLICS;;;CENTRE SOCIAL;6;R;ERNEST DELBET;;;182;77182;77;SEINE ET MARNE;77320 LA FERTE GAUCHER;0164201647;;223;Protection Maternelle et Infantile (P.M.I.);2202;Etablissements de PMI et de Planification Familiale;;;01;Etablissement Tarif Libre;;;1904-04-04;1904-04-04;2005-10-26;;722532.8;6853613.0;1,ATLASANTE,84,BAN_05-09-2024,LAMBERT_93_METROPOLE;2024-09-03;La Ferté-Gaucher;11;Île-de-France;200072544;Communauté de communes des Deux Morin;6 R ERNEST DELBET;48.78221431150341, 3.306659226525657
770817047;770002004;CENTRE DE PMI;;;MAIRIE ANNEXE;;BD;C MELET;;;479;77479;77;SEINE ET MARNE;77360 VAIRES SUR MARNE;0164215361;;223;Protection Maternelle et Infantile (P.M.I.);2202;Etablissements de PMI et de Planification Familiale;;;01;Etablissement Tarif Libre;;;1904-04-04;1904-04-04;2013-09-04;;673672.0;6863777.7;2,ATLASANTE,100,BDADRESSE_v2.2_03-2024,LAMBERT_93_METROPOLE;2024-09-03;Vaires-sur-Marne;11;Île-de-France;200057958;Communauté d'agglomération Paris - Vallée de la Marne;BD C MELET;48.873485267825295, 2.6410619852442703
780009379;780804373;MAISON D'ENFANTS NUMERO 4;;;;12;R;DE BEAUREGARD;;;498;78498;78;YVELINES;78300 POISSY;0130658834;0130745388;177;Maison d'Enfants à Caractère Social;4501;Etablissements de l'Aide Sociale à l'Enfance;78506291000019;;08;Président du Conseil Départemental;;;2003-12-13;2003-12-13;2023-02-24;;629974.5;6869655.9;1,ATLASANTE,83,BAN_05-09-2024,LAMBERT_93_METROPOLE;2024-09-03;Poissy;11;Île-de-France;200059889;Communauté urbaine Grand Paris Seine et Oise;12 R DE BEAUREGARD;48.92307470914321, 2.0443902145315285
780000345;780110078;CH DE VERSAILLES SITE RICHAUD;CENTRE HOSPITALIER DE VERSAILLES HOPITAL RICHAUD;;;80;BD;DE LA REINE;;;646;78646;78;YVELINES;78000 VERSAILLES;0139639136;0139639426;355;Centre Hospitalier (C.H.);1102;Centres Hospitaliers;26780271800010;8610Z;03;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;1901-01-01;1901-01-01;2024-03-18;;636505.3;6856850.4;1,ATLASANTE,86,BAN_05-09-2024,LAMBERT_93_METROPOLE;2024-09-03;Versailles;11;Île-de-France;247800584;Communauté d'agglomération Versailles Grand Parc (CAVGP);80 BD DE LA REINE;48.80859769507329, 2.1354192285031965
780001566;780708442;SESSAD LE PRE D ORIENT LES DJINNS;SESSAD LE PRE D ORIENT LES DJINNS;;;24;R;DU MARECHAL JOFFRE;;;646;78646;78;YVELINES;78000 VERSAILLES;0130832805;0130832806;182;Service d'Éducation Spéciale et de Soins à Domicile;4106;Services à Domicile ou Ambulatoires pour Handicapés;77570818300154;;34;ARS / DG dotation globale;;;1995-11-06;2017-01-03;2019-02-05;;635444.6;6855339.1;1,ATLASANTE,86,BAN_05-09-2024,LAMBERT_93_METROPOLE;2024-09-03;Versailles;11;Île-de-France;247800584;Communauté d'agglomération Versailles Grand Parc (CAVGP);24 R DU MARECHAL JOFFRE;48.79490111395147, 2.1212063200219835
780009692;780009684;PHARMACIE LEREDU;PHARMACIE LEREDU;;;38;R;PORTE AUX SAINTS;;;361;78361;78;YVELINES;78200 MANTES LA JOLIE;;;620;Pharmacie d'Officine;3201;Commerce de Biens à Usage Médicaux;33031958300010;;01;Etablissement Tarif Libre;;;1984-03-12;1943-06-30;2021-02-12;;606161.5;6877212.9;1,ATLASANTE,86,BAN_05-09-2024,LAMBERT_93_METROPOLE;2024-09-03;Mantes-la-Jolie;11;Île-de-France;200059889;Communauté urbaine Grand Paris Seine et Oise;38 R PORTE AUX SAINTS;48.987989318913435, 1.7177991618672612
780009726;780009700;PHARMACIE PHANG-YOU;PHARMACIE PHANG-YOU;;;21;PL;DE LA REPUBLIQUE;;;361;78361;78;YVELINES;78200 MANTES LA JOLIE;0134773084;;620;Pharmacie d'Officine;3201;Commerce de Biens à Usage Médicaux;48811651800017;;01;Etablissement Tarif Libre;;;2006-01-09;1943-01-02;2024-05-18;;605904.9;6877361.4;1,ATLASANTE,86,BAN_05-09-2024,LAMBERT_93_METROPOLE;2024-09-03;Mantes-la-Jolie;11;Île-de-France;200059889;Communauté urbaine Grand Paris Seine et Oise;21 PL DE LA REPUBLIQUE;48.98928695395885, 1.7142605847495584
780000378;780130027;CH LOCAL DE HOUDAN;CENTRE HOSPITALIER LOCAL DE HOUDAN;;;42;R;DE PARIS;;;310;78310;78;YVELINES;78550 HOUDAN;0130461800;0130461859;106;Centre hospitalier, ex Hôpital local;1106;Hôpitaux Locaux;26780234600010;;03;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;1911-01-01;1911-01-01;2016-01-11;;597207.6;6855669.0;1,ATLASANTE,80,BAN_05-09-2024,LAMBERT_93_METROPOLE;2024-09-03;Houdan;11;Île-de-France;247800550;Communauté de communes du Pays Houdanais (CCPH);42 R DE PARIS;48.792907272432515, 1.6006945600447138
780007175;780007167;SELARL GRANDE PHARMACIE DE CONFLANS;SELARL GRANDE PHARMACIE DE CONFLANS;;;40;R;MAURICE BERTEAUX;;;172;78172;78;YVELINES;78700 CONFLANS STE HONORINE;0139726102;0139723460;620;Pharmacie d'Officine;3201;Commerce de Biens à Usage Médicaux;84242649600019;;01;Etablissement Tarif Libre;;;2018-10-01;1943-06-29;2024-05-23;;633615.4;6877344.2;1,ATLASANTE,88,BAN_05-09-2024,LAMBERT_93_METROPOLE;2024-09-03;Conflans-Sainte-Honorine;11;Île-de-France;200059889;Communauté urbaine Grand Paris Seine et Oise;40 R MAURICE BERTEAUX;48.992592139012366, 2.0928663494403628
780008090;780008082;SELARL PHARMACIE LOGEREAU MARTINOLES;SELARL PHARMACIE LOGEREAU MARTINOLES;;;24;AV;MADEMOISELLE DOSNE;;;267;78267;78;YVELINES;78440 GARGENVILLE;0130936248;;620;Pharmacie d'Officine;3201;Commerce de Biens à Usage Médicaux;81039506100015;;01;Etablissement Tarif Libre;;;2015-06-01;1970-04-27;2021-03-25;;612928.3;6877244.0;1,ATLASANTE,84,BAN_05-09-2024,LAMBERT_93_METROPOLE;2024-09-03;Gargenville;11;Île-de-France;200059889;Communauté urbaine Grand Paris Seine et Oise;24 AV MADEMOISELLE DOSNE;48.98922133767275, 1.8102391700901683
780002168;750719239;SESSAD TRISOMIE 21 APF FRANCE HANDICAP;SESSAD TRISOMIE 21 APF FRANCE HANDICAP;;;164;AV;JOSEPH KESSEL;;;688;78688;78;YVELINES;78960 VOISINS LE BRETONNEUX;0161380072;0130445181;182;Service d'Éducation Spéciale et de Soins à Domicile;4106;Services à Domicile ou Ambulatoires pour Handicapés;77568873212587;8891B;34;ARS / DG dotation globale;;;2003-09-02;2002-06-13;2024-08-02;0783570G;631023.1;6851980.1;1,ATLASANTE,87,BAN_05-09-2024,LAMBERT_93_METROPOLE;2024-09-03;Voisins-le-Bretonneux;11;Île-de-France;200058782;Communauté d'agglomération de Saint-Quentin-en-Yvelines;164 AV JOSEPH KESSEL;48.764235279762545, 2.0615652692116972
780004776;780004750;PHARMACIE CENTRALE;PHARMACIE CENTRALE;;;3;AV;STALINGRAD;;;005;78005;78;YVELINES;78260 ACHERES;0139110406;0139110203;620;Pharmacie d'Officine;3201;Commerce de Biens à Usage Médicaux;85122592000012;;01;Etablissement Tarif Libre;;;2019-06-17;2013-12-26;2023-09-07;;631818.0;6873846.0;1,ATLASANTE,82,BAN_05-09-2024,LAMBERT_93_METROPOLE;2024-09-03;Achères;11;Île-de-France;200059889;Communauté urbaine Grand Paris Seine et Oise;3 AV STALINGRAD;48.96094957281567, 2.0688711094082923
780004792;780004784;PHARMACIE DU MARECHAL FOCH;PHARMACIE DU MARECHAL FOCH;;;30;R;du Maréchal Foch;;;015;78015;78;YVELINES;78570 ANDRESY;;;620;Pharmacie d'Officine;3201;Commerce de Biens à Usage Médicaux;81210749800022;;01;Etablissement Tarif Libre;;;2021-03-08;2020-12-04;2024-06-06;;631551.6;6876841.2;1,ATLASANTE,84,BAN_05-09-2024,LAMBERT_93_METROPOLE;2024-09-03;Andrésy;11;Île-de-France;200059889;Communauté urbaine Grand Paris Seine et Oise;30 R du Maréchal Foch;48.98785292439389, 2.064748897078899
780005096;780005070;SELARL PHARMACIE DU VAL DES 4 PIGNONS;SELARL PHARMACIE DU VAL DES 4 PIGNONS;;;2;AV;DE CRESPIERES;;;062;78062;78;YVELINES;78650 BEYNES;0134894740;;620;Pharmacie d'Officine;3201;Commerce de Biens à Usage Médicaux;75246039400014;;01;Etablissement Tarif Libre;;;2013-10-31;1977-11-08;2024-05-16;;619699.2;6862343.0;1,ATLASANTE,83,BAN_05-09-2024,LAMBERT_93_METROPOLE;2024-09-03;Beynes;11;Île-de-France;247800618;Communauté de communes Cœur d'Yvelines;2 AV DE CRESPIERES;48.856116266684296, 1.9055672684035287
780008108;780002002;CONSULTATION PRE ET POST NATALE;;;;4;R;PABLO PICASSO;;;586;78586;78;YVELINES;78500 SARTROUVILLE;0139144029;;224;Etablissement de Consultation Pré et Post-natale;2202;Etablissements de PMI et de Planification Familiale;22780646000449;8621Z;01;Etablissement Tarif Libre;;;2004-05-15;2004-05-15;2022-04-20;;640524.2;6871843.0;1,ATLASANTE,84,BAN_05-09-2024,LAMBERT_93_METROPOLE;2024-09-03;Sartrouville;11;Île-de-France;200058519;Communauté d'agglomération Saint Germain Boucles de Seine;4 R PABLO PICASSO;48.943802949943155, 2.18803977960746
780008330;780008322;PHARMACIE BILHEUDE-FORSKI;PHARMACIE BILHEUDE-FORSKI;;;4;AV;DE LA GARE;;;299;78299;78;YVELINES;78250 HARDRICOURT;0134740512;;620;Pharmacie d'Officine;3201;Commerce de Biens à Usage Médicaux;34441983300027;;01;Etablissement Tarif Libre;;;1998-04-01;1997-12-11;2023-02-25;;619807.6;6878964.1;1,ATLASANTE,82,BAN_05-09-2024,LAMBERT_93_METROPOLE;2024-09-03;Hardricourt;11;Île-de-France;200059889;Communauté urbaine Grand Paris Seine et Oise;4 AV DE LA GARE;49.005582265677376, 1.9039001326691007
780010393;780010385;PHARMACIE PRINCIPALE DU SANCERROIS;PHARMACIE PRINCIPALE DU SANCERROIS;;;10;PL;DU SANCERROIS;;;383;78383;78;YVELINES;78310 MAUREPAS;;;620;Pharmacie d'Officine;3201;Commerce de Biens à Usage Médicaux;82117786200017;;01;Etablissement Tarif Libre;;;2024-06-01;1974-06-20;2024-07-16;;622404.4;6851820.8;1,ATLASANTE,83,BAN_05-09-2024,LAMBERT_93_METROPOLE;2024-09-03;Maurepas;11;Île-de-France;200058782;Communauté d'agglomération de Saint-Quentin-en-Yvelines;10 PL DU SANCERROIS;48.76182390156356, 1.9443495236811135
