id,finess,urgences,reanimation,maternite,dialyse,chimio,bloc,imagerie,psychiatrie
1,750000184,0,0,0,1,0,0,0,0
2,750000481,0,0,0,0,1,1,1,0
3,750000499,0,1,0,0,1,1,1,1
4,750000507,0,0,0,0,0,0,0,0
5,750000523,1,1,1,1,1,1,1,0
6,750000549,1,1,0,0,1,1,1,0
7,750003378,0,0,0,0,0,0,0,0
8,750006538,0,0,0,0,0,0,0,1
9,750007528,0,0,0,0,0,0,0,1
10,750007668,0,0,0,0,0,0,0,1
11,750009318,0,0,0,1,0,0,0,0
12,750014128,0,0,0,0,0,0,1,0
13,750014169,0,0,0,0,0,0,0,0
14,750027369,0,0,0,0,0,0,0,0
15,750032229,0,0,0,0,0,0,0,1
16,750038739,0,0,0,0,0,0,0,0
17,750039448,0,0,0,0,0,0,0,1
18,750040297,0,0,0,1,0,0,0,0
19,750041543,0,0,0,0,0,0,1,0
20,750042459,0,0,0,0,1,0,0,0
21,750042830,0,0,0,0,0,0,0,0
22,750047128,0,0,0,0,0,0,0,0
23,750047318,0,0,0,1,0,0,0,0
24,750049561,0,0,0,0,0,0,0,0
25,750052037,0,0,0,0,0,0,0,1
26,750055287,0,0,0,1,0,0,0,0
27,750057028,0,0,0,0,0,0,0,1
28,750057267,0,0,0,1,0,0,0,0
29,750064461,0,0,0,0,0,0,0,0
30,750064479,0,0,0,0,0,0,0,0
31,750064495,0,0,0,0,0,0,0,0
32,750066441,0,0,0,0,0,0,0,0
33,750066813,0,0,0,1,0,0,0,0
34,750069049,0,0,0,0,0,0,0,0
35,750071193,0,0,0,1,0,0,0,0
36,750100018,1,0,0,0,1,0,1,1
37,750100042,1,1,1,1,1,1,1,1
38,750100075,1,1,1,1,1,1,1,1
39,750100083,0,0,0,0,0,0,1,0
40,750100091,1,1,0,0,1,1,1,1
41,750100109,1,1,1,1,1,1,1,1
42,750100125,1,1,1,1,1,1,1,1
43,750100166,1,1,1,1,1,1,1,1
44,750100208,1,1,1,1,1,1,1,1
45,750100216,0,0,0,0,0,0,0,0
46,750100232,1,1,1,1,1,1,1,1
47,750100273,1,1,1,1,1,1,1,1
48,750100299,0,0,0,0,0,0,1,0
49,750140022,0,0,0,0,0,0,0,1
50,750150013,0,0,1,0,0,1,0,0
51,750150088,0,0,0,0,0,0,0,0
52,750150104,0,1,1,1,1,1,1,1
53,750150146,0,0,0,0,0,0,0,0
54,750150187,0,0,0,0,0,0,0,0
55,750150237,1,1,0,0,1,1,1,0
56,750150252,0,0,0,1,1,1,1,0
57,750150260,0,0,1,0,0,1,0,0
58,750150286,0,0,0,0,0,0,0,0
59,750150344,0,0,0,0,0,0,0,0
60,750150377,0,0,0,0,0,0,0,0
61,750160012,0,1,0,0,1,1,1,0
62,750170102,0,0,0,0,0,0,0,1
63,750170128,0,0,0,0,0,0,0,1
64,750170243,0,0,0,0,0,0,0,1
65,750170268,0,0,0,0,0,0,0,1
66,750170490,0,0,0,0,0,0,0,1
67,750200024,0,0,0,1,0,0,0,0
68,750300014,0,0,0,0,1,1,1,0
69,750300071,0,1,1,0,1,1,1,0
70,750300089,0,0,0,0,0,1,1,0
71,750300097,0,0,0,0,1,1,1,0
72,750300121,0,0,0,0,1,1,1,0
73,750300139,0,0,1,1,1,1,1,0
74,750300154,0,1,0,1,1,1,1,0
75,750300360,0,0,0,0,1,1,1,0
76,750300493,0,0,0,0,1,1,1,0
77,750300550,0,0,0,0,1,1,0,0
78,750300592,0,0,0,0,1,1,1,0
79,750300667,0,0,1,0,0,1,0,0
80,750300741,0,0,0,0,0,1,1,0
81,750300766,0,0,0,0,1,1,1,0
82,750300774,0,0,0,0,0,1,1,0
83,750300840,0,0,1,0,1,1,0,0
84,750300857,0,0,0,0,0,1,1,0
85,750300881,0,0,0,0,1,1,1,0
86,750300915,0,0,0,1,0,1,1,0
87,750300931,0,0,1,0,0,1,0,0
88,750301137,0,1,0,0,0,1,1,0
89,750301145,0,0,0,0,1,1,0,0
90,750301160,0,0,0,0,0,1,1,0
91,750310013,0,0,0,0,0,0,0,1
92,750700015,0,0,0,0,0,0,0,0
93,750710782,0,0,0,0,0,0,0,1
94,750719361,0,0,0,0,0,0,0,1
95,750720674,0,0,0,0,0,0,0,1
96,750790164,0,0,0,0,0,1,0,0
97,750801441,0,0,0,0,0,0,1,0
98,750802316,0,0,0,0,0,0,0,1
99,750802985,0,0,0,0,0,0,0,1
100,750803447,1,1,1,1,1,1,1,1
101,750803454,1,1,1,1,1,1,1,1
102,750806226,0,0,0,0,1,0,0,0
103,750808578,0,0,0,0,0,0,1,0
104,750813016,0,0,0,0,0,0,0,1
105,750814824,0,0,0,1,0,0,0,0
106,750825184,0,0,0,0,0,0,0,0
107,750826141,0,0,0,0,0,0,0,1
108,750829053,0,0,0,1,0,0,0,0
109,750830580,0,0,0,0,0,0,0,1
110,750831067,0,0,0,1,0,0,0,0
